sale_year,county,sale_count,median_price,mean_price,min_price,max_price
2013,cook,28,603100.0,913218.3214285715,350000.0,2450000.0
2013,dupage,53,670000.0,1014759.1698113207,75000.0,13700000.0
2014,cook,41,624000.0,791325.1951219512,250000.0,3100000.0
2014,dupage,60,560750.0,648219.5833333334,77500.0,2500000.0
2015,cook,18,832250.0,858972.2222222222,375000.0,2050000.0
2015,dupage,78,685000.0,814018.5897435897,165000.0,6000000.0
2016,cook,30,667500.0,848050.0,267000.0,2575000.0
2016,dupage,107,595000.0,812773.4112149533,147500.0,4125000.0
2017,cook,40,768750.0,974012.5,250000.0,2900000.0
2017,dupage,119,521000.0,673897.8991596638,94000.0,6000000.0
2018,cook,26,625000.0,704192.3076923077,175000.0,1757500.0
2018,dupage,114,531500.0,806622.3859649122,169500.0,6000000.0
2019,cook,39,630000.0,592396.8461538461,17500.0,1270000.0
2019,dupage,150,552500.0,686743.5733333334,85000.0,3550000.0
2020,cook,53,760000.0,797900.358490566,26500.0,1860000.0
2020,dupage,165,650000.0,737574.3151515152,119000.0,3350000.0
2021,cook,45,834900.0,880300.3555555556,280000.0,2125000.0
2021,dupage,216,740000.0,869705.3333333334,195000.0,5250000.0
2022,cook,44,885000.0,967639.6590909091,205000.0,2350000.0
2022,dupage,215,735000.0,859855.8744186047,106000.0,10700000.0
2023,cook,25,975000.0,1171900.0,280000.0,4200000.0
2023,dupage,146,729000.0,1056485.4452054794,140000.0,9650000.0
2024,cook,26,860000.0,960188.4615384615,258000.0,2275000.0
2024,dupage,186,820000.0,1093509.3548387096,285000.0,13506890.0
2025,cook,25,1050000.0,1103980.0,315000.0,2375000.0
2025,dupage,154,1000000.0,1341304.2987012987,100000.0,16966667.0
2026,cook,5,2000000.0,1715000.0,800000.0,2000000.0
2026,dupage,45,1045000.0,1310299.1555555556,302000.0,3750000.0
