county,pin_normalized,sale_date,sale_price,document_number,deed_type,is_arms_length,filter_flags,source,source_url,extracted_at,confidence_score,parcel_address,township
dupage,0936109015,2015-04-10,450000.0,R2015-041565,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.18255,2,15 LAKE RIDGE CLUB BURR RIDGE IL 60527,
dupage,0924309006,2015-04-30,6000000.0,R2015-052911,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.18323,2,7055 BURR RIDGE BLVD WILLOWBROOK IL 60527,
dupage,1001302076,2015-05-11,1140500.0,R2015-056177,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.183547,2,1 KERI LN BURR RIDGE IL 60521,
dupage,0936202003,2015-06-02,460000.0,R2015-067398,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.1843,2,116 W 79TH ST BURR RIDGE IL 60527,
dupage,0924405008,2015-06-15,600000.0,R2015-067623,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.18456,2,6826 FIELDSTONE DR BURR RIDGE IL 60527,
dupage,1002409023,2015-07-17,1115000.0,R2015-082968,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.185525,2,9321 FALLING WATERS DR W BURR RIDGE IL 60527,
dupage,0913407009,2015-07-31,1050000.0,R2015-086744,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.186063,2,14 WOODGATE DR BURR RIDGE IL 60527,
dupage,0936310012,2015-08-26,719500.0,R2015-104882,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.187202,2,8497 KIMBERLY CT BURR RIDGE IL 60527,
dupage,0925207017,2015-09-14,685000.0,R2015-106247,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.187694,2,7329 S PARK AVE BURR RIDGE IL 60527,
dupage,0935204011,2015-09-15,5650000.0,R2015-105105,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.187741,2,16W361 S FRONTAGE RD BURR RIDGE IL 60527,
dupage,1001102004,2015-09-18,755000.0,R2015-109712,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.187855,2,10S265 S VINE ST BURR RIDGE IL 60527,
dupage,0924209005,2015-09-23,945000.0,R2015-108022,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.188,2,1205 KENMARE DR BURR RIDGE IL 60527,
dupage,0913302037,2015-09-25,1125000.0,R2015-110810,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.188116,2,4 RIDGE FARM RD BURR RIDGE IL 60527,
dupage,0936307001,2015-09-30,403500.0,R2015-113029,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:40:20.188305,2,436 KIRKWOOD COVE BURR RIDGE IL 60527,
dupage,1002409012,2015-11-02,1440000.0,R2015-136990,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.922221,2,4 SYLVAN GLEN CT BURR RIDGE IL 60527,
dupage,0913408035,2015-11-20,850000.0,R2015-130777,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.922634,2,1203 BURR RIDGE CLB BURR RIDGE IL 60527,
dupage,0936210015,2015-11-30,200000.0,R2015-131822,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.922775,2,"7958 S GARFIELD AVE # 107 BURR RIDGE IL 60521",
dupage,0925204006,2015-11-30,230000.0,R2015-132794,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.922845,2,7210 S ELM ST BURR RIDGE IL 60527,
dupage,1001100029,2015-12-09,721750.0,R2016-002943,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.923087,2,8725 MADISON ST BURR RIDGE IL 60527,
dupage,0936204010,2015-12-15,420000.0,R2015-138526,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.923209,2,8205 GARFIELD AVE BURR RIDGE IL 60527,
dupage,0925405001,2016-01-07,440000.0,R2016-017604,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.923645,2,7701 DREW AVE BURR RIDGE IL 60527,
dupage,1011201002,2016-01-19,231000.0,R2016-010298,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.923956,2,16W361 95TH PL BURR RIDGE IL 60527,
dupage,0936200013,2016-01-29,237000.0,R2016-016962,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.924256,2,7912 S GARFIELD AVE BURR RIDGE IL 60527,
dupage,0925207008,2016-02-26,160000.0,R2016-025178,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.92546,2,7340 S HAMILTON AVE BURR RIDGE IL 60527,
dupage,0925211004,2016-03-01,2550000.0,R2016-020021,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.925702,2,200 FRONTAGE RD WILLOWBROOK IL 60527,
dupage,1001403011,2016-03-10,410000.0,R2016-025684,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.926291,2,15W081 91ST ST BURR RIDGE IL 60527,
dupage,0936104061,2016-03-24,535000.0,R2016-030166,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.927267,2,59 PINE TREE LN BURR RIDGE IL 60521,
dupage,0925111038,2016-04-05,315000.0,R2016-038600,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.927891,2,119 CHESTNUT HILLS BURR RIDGE IL 60527,
dupage,0936302012,2016-04-06,445000.0,R2016-042538,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.92796,2,8460 CLYNDERVEN RD BURR RIDGE IL 60527,
dupage,0924308008,2016-04-21,4125000.0,R2016-039699,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.928836,2,7040 HIGH GROVE BLVD BURR RIDGE IL 60527,
dupage,0936209036,2016-04-28,165000.0,R2016-043939,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.929313,2,"8078 GARFIELD AVE # 4 BURR RIDGE IL 60527",
dupage,1001208001,2016-04-29,765000.0,R2016-060375,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.929484,2,8963 ENCLAVE DR BURR RIDGE IL 60527,
dupage,0913408020,2016-05-02,1000000.0,R2016-050779,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.929619,2,401 BURR RIDGE CLUB BURR RIDGE IL 60527,
dupage,1002409029,2016-05-11,1450000.0,R2016-056046,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:20.930137,2,9465 FALLING WATERS W BURR RIDGE IL 60527,
dupage,0935403030,2016-05-23,2925000.0,R2016-052739,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:25.708854,2,8320 S MADISON ST BURR RIDGE IL 60527,
dupage,1002403024,2016-05-27,280000.0,R2016-073763,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:25.70922,2,16W270 94TH PL BURR RIDGE IL 60527,
dupage,1002211002,2016-06-15,1875000.0,R2016-067165,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:25.710195,2,16W122 91ST ST BURR RIDGE IL 60527,
dupage,0936209061,2016-06-22,170000.0,R2016-075603,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:25.710566,2,"7982 GARFIELD AVE # 16-1 BURR RIDGE IL 60527",
dupage,0913308006,2016-06-30,1285000.0,R2016-075016,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:25.711166,2,11 CLUBSIDE CT BURR RIDGE IL 60527,
dupage,0913400003,2016-07-15,2200000.0,R2016-075635,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:25.711951,2,15W344 60TH ST BURR RIDGE IL 60527,
dupage,0936109066,2016-07-21,650000.0,R2016-107151,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:25.71261,2,66 BERKSHIRE CT BURR RIDGE IL 60527,
dupage,1001100031,2016-08-19,820000.0,R2016-089223,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:25.715025,2,8730 POLO RIDGE CT BURR RIDGE IL 60527,
dupage,0936103024,2016-08-22,160000.0,R2016-115854,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:41:25.715163,2,15W780 83RD ST BURR RIDGE IL 60521,
dupage,0925111068,2016-09-30,315000.0,R2016-108229,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.053171,2,112 CHESTNUT HILL CIR BURR RIDGE IL 60527,
dupage,0936204010,2016-10-03,595000.0,R2016-111358,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.053298,2,8205 GARFIELD AVE BURR RIDGE IL 60527,
dupage,1001308042,2016-10-11,475000.0,R2016-115820,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.053475,2,31 PIN OAK CT BURR RIDGE IL 60527,
dupage,0925401017,2016-11-09,962000.0,R2016-126629,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.054275,2,7512 DREW AVE BURR RIDGE IL 60527,
dupage,0936404039,2016-11-10,780000.0,R2016-125070,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.054327,2,35 HIDDEN LAKE DR BURR RIDGE IL 60527,
dupage,0936403011,2016-11-28,625000.0,R2017-000500,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.054702,2,8462 HEATHER CT BURR RIDGE IL 60527,
dupage,1001107017,2016-11-29,660000.0,R2016-133001,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.054734,2,8712 AINTREE LN BURR RIDGE IL 60527,
dupage,0936311034,2016-12-07,560000.0,R2016-139698,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.054968,2,8514 CLYNDERVEN RD BURR RIDGE IL 60527,
dupage,1001104023,2016-12-08,1250000.0,R2016-141055,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.054994,2,15W599 89TH ST BURR RIDGE IL 60527,
dupage,0936106012,2016-12-12,510625.0,R2016-144867,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.055082,2,8200 RIDGEPOINT DR BURR RIDGE IL 60527,
dupage,1001406017,2016-12-22,425000.0,R2017-002816,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.055403,2,23 RODEO DR BURR RIDGE IL 60527,
dupage,1001307022,2016-12-26,910000.0,R2017-001765,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.055462,2,4 DEVON RIDGE CT BURR RIDGE IL 60527,
dupage,0936305002,2016-12-28,450000.0,R2016-144276,warranty,true,[],mydec,https://illinois-edp.data.socrata.com/resource/it54-y4c6.json,2026-04-25 23:42:08.05553,2,8349 WALREDON AVE BURR RIDGE IL 60527,
