county,pin_normalized,sale_date,sale_price,document_number,deed_type,is_arms_length,confidence_score,address_normalized,building_sqft,year_built,bedrooms,bathrooms,lot_sqft,assessed_value
cook,18304020340000,2024-09-11,1699000.0,2426210004,warranty,true,3,,4465,,,,,165000.0
cook,18304020340000,2018-03-01,379000.0,1809646192,warranty,true,2,,,,,,,18678.0
cook,18304050060000,2014-04-10,520000.0,1411326101,warranty,true,3,,3530,2004,4,3.5,,81771.0
cook,18304070040000,2022-04-07,745000.0,2211728049,warranty,true,3,,3091,,,,,62055.0
cook,18304080230000,2017-01-30,787500.0,1703447064,warranty,true,3,,4831,1985,5,4.5,,98118.0
cook,18304090120000,2014-03-31,585000.0,1409246099,warranty,true,3,,2739,1986,4,3.0,,60616.0
cook,18304100020000,2024-09-10,986000.0,2426122010,warranty,true,3,,2666,,,,,63301.0
cook,18304100020000,2020-11-16,765000.0,2035617339,warranty,true,3,,2666,1983,4,2.5,,55009.0
cook,18304100120000,2017-10-03,1.0,1728406072,quit_claim,false,2,,2895,1982,4,3.5,,68361.0
cook,18311020190000,2019-05-14,1188000.0,1913541015,warranty,true,3,,6165,1998,5,6.0,,140508.0
cook,18311030190000,2013-02-27,651000.0,1306516075,other,false,3,,3799,2005,5,4.0,,80205.0
cook,18311030190000,2025-07-14,1350000.0,2535021006,warranty,true,3,,,,,,,108111.0
cook,18311040030000,2015-08-10,619000.0,1526042079,warranty,true,3,,3776,1985,3,3.0,,65490.0
cook,18311040030000,2022-09-21,799000.0,2227240033,warranty,true,3,,3776,,,,,61537.0
cook,18311050010000,2019-10-23,1.0,1929755036,trustee,false,2,,3364,2001,4,3.5,,71031.0
cook,18311050060000,2018-01-03,1.0,1800506098,other,false,2,,3911,1985,4,3.5,,88372.0
cook,18311050360000,2013-07-26,750000.0,1322533138,trustee,false,3,,4231,1986,4,2.5,,72581.0
cook,18311050370000,2020-02-17,1.0,2029017056,other,false,2,,4099,1986,4,3.0,,94061.0
cook,18311080010000,2023-03-09,775000.0,2308045271,trustee,false,3,,3189,,,,,94000.0
cook,18311080100000,2013-09-11,1050000.0,1328933092,trustee,false,3,,7178,1992,6,4.5,,138001.0
cook,18312110030000,2013-11-01,794444.0,1332229112,other,false,2,,,,,,,2076.0
cook,18312110030000,2014-10-01,799000.0,1431049078,other,false,2,,,,,,,2076.0
cook,18312110140000,2013-06-01,883389.0,1317649024,other,false,2,,3514,2010,4,3.0,,62051.0
cook,18312110140000,2024-07-16,1225000.0,2420130001,trustee,false,3,,3514,,,,,99000.0
cook,18312110150000,2013-07-01,914500.0,1322049013,other,false,2,,,,,,,2199.0
cook,18312110200000,2015-09-29,940000.0,1529629006,warranty,true,3,,3507,2013,4,2.5,,49365.0
cook,18312110200000,2013-11-01,794444.0,1332229112,other,false,2,,,,,,,2077.0
cook,18312110240000,2013-05-01,762500.0,1315549025,other,false,2,,3514,2010,4,3.0,,66765.0
cook,18312110240000,2017-09-08,895000.0,1725615117,other,false,3,,3166,2010,3,2.5,,70675.0
cook,18312110240000,2018-06-01,762500.0,1815701092,trustee,false,3,,3166,2010,3,2.5,,70675.0
cook,18312110460000,2013-05-01,794444.0,1313639073,other,false,2,,,,,,,2199.0
cook,18312110530000,2021-03-04,1075000.0,2108207626,trustee,false,3,,3225,2009,3,3.5,,67283.0
cook,18312110530000,2013-11-01,422000.0,1331808232,warranty,true,2,,3225,2007,3,3.5,,89264.0
cook,18312110530000,2014-08-15,1162500.0,1425933023,warranty,true,3,,3225,2007,3,3.5,,14335.0
cook,18313000140000,2021-04-06,675000.0,2110439035,other,false,2,,,,,,,7895.0
cook,18313000140000,2024-10-02,900000.0,2430523094,trustee,false,2,,,,,,,4356.0
cook,18313000140000,2014-04-01,775000.0,1410656020,trustee,false,2,,,,,,,6261.0
cook,18313030090000,2020-12-23,1365000.0,2107804069,trustee,false,3,,5780,1986,5,5.0,,168667.0
cook,18313030110000,2019-12-30,1025000.0,2000755177,warranty,true,3,,6276,1986,4,5.0,,158099.0
cook,18313040230000,2026-02-20,400000.0,2605630125,trustee,false,2,,,,,,,
cook,18313050110000,2021-12-01,202500.0,2135408165,trustee,false,3,,,,,,,21750.0
cook,18313050110000,2023-12-15,395000.0,2335533149,trustee,false,3,,,,,,,24750.0
cook,18313060060000,2013-04-17,1300000.0,1312112166,warranty,true,3,,4962,2001,4,4.5,,112813.0
cook,18313060100000,2016-05-10,1127000.0,1614557011,warranty,true,3,,4918,2001,4,5.5,,109133.0
